Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Dago Dreampark,https://drive.google.com/drive/folders/1QBxmWQupO_JjVRtCJ4jMqiHJkgtdHHIc?usp=sharing,"Dago Dreampark merupakan salah satu tempat wisata di Bandung yang menggunakan konsep Jawa - Sunda & Bali yang dilengkapi dengan berbagai fasilitas menarik. Adapun fasilitas yang dimaksud antara lain adalah wahana permainan, Out Bound, restoran dan makanan, dan wahana selfie.",Senin - Jum'at ( 09.00 - 17.00 WIB ),Rp 27000 - Rp 32.000,"Villa Variz, Vilatel Salse Hotel, Iris Home, dan Rumah Jae.","['keluarga', 'pasangan']",wisata kota
Gunung Tangkuban Perahu,https://drive.google.com/drive/folders/15dlONwwfitB7Nzu8faySmGnG9ZC3G5oI?usp=sharing,Gunung Tangkuban Perahu merupakan salah satu wisata alam di Bandung. Puncak Gunung Tangkuban Perahu berbentuk memanjang dan mirip dengan sebuah perahu yang terbalik. Kemudian pada lereng gunungnya terdapat hamparan perkebunan teh. Tempat wisata ini sering dikaitkan dengan cerita rakyat yang diturunkan dari generasi ke generasi yaitu cerita Sangkuriang dan Dayang Sumbi.,Setiap hari ( 07.00 - 17.00 WIB ),Rp 22.000 - Rp 31.000,"Grafika Cikole, Sari Ater Hotel & Resort,  Triangle Marindu, dan Van House.",['teman'],pegunungan dan pedesaan
Museum Geologi Bandung,https://drive.google.com/drive/folders/1Kahmpdo_laYZa1LGGR_7xgXThWRktYKK?usp=sharing,"Museum Geologi Bandung merupakan salah satu tempat wisata edukasi di Bandung. Museum ini berfungsi sebagai gedung perkantoran  dengan unit laboratorium geologi dan sarana penyimpanan koleksi hasil penelitian geologi. Museum ini memiliki koleksi berupa materi-materi geologi, mulai dari fosir, batuan, hingga mineral.","Selasa - Kamis dan Sabtu - Minggu
( 10.00 - 13.00 WIB )

Libur nasional tutup",RP 2.000 - Rp 10.000,"RedDoorz Plus near Museum Geologi Bandung, Hotel PD, Pullman Bandung Grand Central, dan Ibis Styles Bandung Grand Central ","['sendiri', 'teman', 'keluarga']",museum
Museum Konferensi Asia Afrika,https://drive.google.com/drive/folders/1gYYz0TxVzxepax4e4bATevfS1Z4qRxGw?usp=sharing,"Museum Konferensi Asia Afrika merupakan wisata edukasi di Bandung. Museum ini didirikan deengan tujuan supaya dapat meningkatkan hubungan kalangan Eropa di Bandung. Museum ini memiliki ruang pameran tetap yang memamerkan sejumlah koleksi berupa benda-benda tiga dimensi dan foto-foto dokumenter peristiwa Pertemuan Tugu, Konferensi Kolombo, Konferensi Bogor, dan Konferensi Asia Afrika tahun 1955.","Selasa, Kamis, Sabtu, dan Minggu
 ( 09.00 - 15.00 WIB )",Gratis,"RedDoorz Plus near Asia Afrika 3, Hotel Astria Graha, Prama Grand Preanger Hotel, dan Ibis Budget Bandung Asia Afrika.","['sendiri', 'teman', 'keluarga']",museum
Curug Citambur,https://drive.google.com/drive/folders/1sf7qEuff4yh_5gBPb5q0QIdkeLJcKXQu,"Curug Citambur adalah sebuah curug atau air terjun yang ketinggiannya kira-kira 130 meter di Kabupaten Cianjur bagian Selatan, Provinsi Jawa Barat, Indonesia. Curug Citambur memiliki tiga tingkatan air terjun dimana tingkat pertama berketinggian 12 meter sedangkan tingkat kedua berketinggian 116 meter dan yang paling tas adalah 2 meter.Air curug yang berada di ketinggian kurang lebih 1.400 Mdpl ini terkenal sangat dingin dan memiliki debit air yang besar terlebih saat musim penghujan. Kondisi tersebut membuat Curug Citambur selalu diliputi kabut tipis dan suara air jatuhannya yang begitu keras bergemuruh. Curug Citambur yang dibatasai tebing curam dan debit air yang besar akan sangat berbahaya jika berada dibawah guyuran airnya.",Setiap hari (09.00-22.00 WIB),Rp 10.000 - Rp 15.000,"Grand Sunshine Resort & Convention, Sutanraja Hotel & Convention Centre, Albis Hotel Ciwidey, dan Gino Feruci Cianjur.","['teman', 'keluarga', 'pasangan']",wisata air
Kawah Putih Telaga Bodas,https://drive.google.com/drive/folders/1qhEPgBB5gyjCx7r2DDkMS0Oh9_y_NXtw,"Kawah Talaga Bodas ini terletak di Gunung Talaga Bodas, yang berdekatan dengan Gunung Sagara dan Gunung Galunggung. Di puncak Gunung Talaga Bodas ini merupakan perbatasan antara Kabupaten Garut dan Tasikmalaya.",Setiap hari ( 07.00 - 17.00 WIB ),Rp. 9.500,"OYO 1673 Hotel Taman Mangkubumi Indah, Favehotel Tasikmalaya, Favehotel Cimanuk Garut, dan  RedDoorz near Alun-Alun Garut. ",['keluarga'],pegunungan dan pedesaan
Candi Jiwa Batu Jaya,https://drive.google.com/drive/folders/1fkzm7Z4iJ_uovId5SF-QI-XDaPNkyZaI,candi ini disebut sebagai candi tertua di Jawa melebihi usia Candi Borobudur di Magelang. Candi Batujaya dibangun pada masa Kerajaan Tarumanegara yang sudah ada sejak abad ke-5 hingga ke-6 Masehi.,Setiap hari ( 07.00 - 17.00 WIB ),Rp5.000,,"['teman', 'keluarga']",situs bersejarah dan religi
Lembah Panyaweuyan,https://drive.google.com/drive/folders/12CNIxLVMdigwTyqL-aheROZSKEs3brRq,"Destinasi yang indah dan tenang, dengan ladang pertanian bertingkat di lereng bukit dengan pemandangan lembah.",Setiap hari ( 24 jam ),Rp5.000,"RedDoorz Syariah near RSUD Cideres, RedDoorz Plus near RSUD Majalengka, RedDoorz @ Puri Kalijaga Street, dan Wisma Teratai 21.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
NuArt Sculpture Park,https://drive.google.com/drive/folders/1HJswBnpeScTxAmtSxT9djg_aAHF4VBKL?usp=sharing,"NuArt Sculpture Park merupakan sebuah museum galeri seni patung yang terletak di bagian Bandung Utara. Tempat ini merupakan pusat seni patung karya Nyoman Nuarta. Di dalam gallery menampilkan karya – karya patung hasil Nyoman Nuarta dari awal karier hingga karya terbaru sebagai pemeran utama. Selain museum gallery, disini juga merupakan tempat proses pembuatan patung karya Nyoman Nuarta itu sendiri.","Minggu - Kamis ( 09.00 - 17.00 )
Jumat & Sabtu ( 09.00 - 21.00 )",Rp 25.000 - Rp 50.000,"Kollektiv Hotel, Sari Ater Kamboti Hotel Bandung, OYO 2385 Maleo Exclusive Residence 2, dan The Cherry Homes Hotel and Residence.","['sendiri', 'teman', 'keluarga']",museum
Pulau Biawak Indramayu,https://drive.google.com/drive/folders/1WBz-O89N6IIiggwuFhkdtLpxWE25_FMA,"Pulau Biawak atau Pulau Rakit adalah sebuah pulau yang terletak di kepulauan Biawak, Laut Jawa di Kabupaten Indramayu Jawa Barat.",Setiap hari ( 24 jam ),Rp400.000,Hotel Flamingo dan Hotel Prima Indramayu,"['teman', 'keluarga', 'pasangan']",wisata air
Situ Patenggang,https://drive.google.com/drive/folders/1qvKYQxesvbFebmKczaCRNDyaooNlMsVF?usp=sharing,"Patenggang atau Situ Patengan adalah suatu danau yang terletak di kawasan objek wisata alam Bandung Selatan, Jawa Barat, Indonesia, tepatnya di Ciwidey. Terletak di ketinggian 1600 meter di atas permukaan laut, danau ini memiliki pemandangan yang sangat eksotik. Situ patenggang juga memiliki pemandangan alam yang asri, karena disekitarnya terdapat hamparan kebun teh.",Setiap hari ( 08.00 - 20.00 WIB ),Rp 15.000 - Rp 20.000,"Ciwidey Valley Resort, Bobocabin Rancaupas, Patuha Resort Kawah Putih, dan MS Hotel Ciwidey.","['keluarga', 'pasangan']",wisata air
Wana Wisata Situ Mustika,https://drive.google.com/drive/folders/1sfCR_4g2XdXb53twdiOmpkOp8gK9PRqJ,Pusat rekreasi di hutan lebat dengan zona termasuk taman anggrek & danau untuk naik perahu dayung.,Setiap hari ( 08.00 - 17.00 WIB ),Rp 15000 - Rp 20000,"Hotel Syariah Galuh Sehati, Rumah Poppy Dharsono Guest House, Mandiri Hotel Banjar, dan SPOT ON 2488 Villa Tirta Melati Syariah.","['teman', 'keluarga']",wisata kota
Bukit Gronggong,https://drive.google.com/drive/folders/1aiv6YO4GywcX5tKbOkL9F2H3kvGyFctQ,"Bukit Gronggong salah satu objek wisata alam yang menawan dan romantis di Cirebon, Jawa Barat. Bukit ini juga menjadi tempat yang pas menikmati gemerlap cahaya dari ketinggian yang menarik untuk Anda kunjungi.",Setiap hari ( 24 jam ),Rp5.000,"Desa Alamanis, Hotel Santun Cirebon Syariah, Pondokan Cempaka Cirebon RedPanter, dan Rumah Panggung Guest House Syariah RedPartner.",['teman'],pegunungan dan pedesaan
Agrowisata Kampung Nangorak,https://drive.google.com/drive/folders/1jhjhm1usQzVkQTjpsjIO1ret-u0sl7n4,"Kawasan Agroteknobisnis Nangorak Sumedang ini memiliki konsep agroeduteknowisata. Konsep Agroeduteknowisata KAS adalah wisata agro yang menawarkan sarana rekreasi alam sekaligus sarana pengenalan dan pendidikan terutama dalam teknik budidaya, dan produksi pertanian, peternakan, perikanan, perkebunan, dan kehutanan kepada sentuhan teknologi",Seiap Hari(24 jam),Rp 100.000 - Rp 350.000,,"['keluarga', 'pasangan']",pegunungan dan pedesaan
Masjid Raya Bandung,https://drive.google.com/drive/folders/1NhunIZXKdPk5oU2_MjTCA4KwIYrToFXA?usp=sharing,"Masjid Raya Bandung merupakan salah satu masjid agung yang menjadi sebuah destinasi wisata favorit bagi para turis domestik maupun mancanegara. Di masjid ini terdapat pemandangan alam yang indah serta pastinya terdapat pesona wisata religi tersendiri. Pengunjung dapat menikmati suasana islami hari ini hingga kapan pun dengan beragam kegiatan lain seperti; Iktikaf Bersama, Tafsir Al qur’an, Shalat Tsubuh berjamaah dan siraman rohani, Silaturahmi.",Setiap hari ( 24 jam ),Gratis,"Hotel 88 Alun Alun, Maison Teraskita Bandung, Daily Inn Hotel Bandung, dan Zodiak Asia Afrika by KAGUM Hotels.",['sendiri'],situs bersejarah dan religi
Kawah Putih Ciwidey,https://drive.google.com/drive/folders/1vyu95HvZ0a-osZqSdjbdzK2c-qY3jbK-?usp=sharing,"Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Perairannya yang berwarna biru kristal berubah dengan kondisi cuaca, dan dilapisi dengan pasir putih halus, memberikan pengunjung pengalaman dunia lain. Bahkan vegetasi di sekitar area ini sangat berbeda dengan yang di bawah.",Setiap hari ( 07.30 - 16.00 WIB ),Rp 27.000 - Rp 81.000,"OYO 2157 Pondok Gembyang Ciwidey, OYO 2157 Pondok Gembyang Air Panas Alam, Ciwidey Valley Resort Hot SPring Waterpark, dan OYO 2369 Cempaka Residence Ciwidey.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Museum Gedung Sate,https://drive.google.com/drive/folders/1Vt7n326jWGBQ1Fdpr6r4kEr4-2OGI3DF?usp=sharing,"Museum Gedung Sate adalah sebuah museum yang berada di Kota Bandung. Museum ini dibangun khusus untuk menjelaskan tentang sejarah Gedung Sate. Informasi lain yang disampaikan tentang Kota Bandung dan provinsi Jawa Barat. Konsep yang diberikan oleh Museum Gedung Sate adalah mengenai gaya arsitektur dan nilai sejarah dari gedung sate. Penerapan konsep diadakan secara bertahap mulai dari tahap prolog, eksplorasi hingga kontemplasi. Nilai sejarah disampaikan dengan teknologi digital yang interaktif. ","Selasa - Minggu
( 09.30 - 16.00 WIB )",Rp5.000,"Pullman Bandung Grand Central, Ibis Styles Bandung Grand Central, Serela Riau Bandung, dan Tebu Hotel Bandung by Willson Hospitality.","['sendiri', 'teman', 'keluarga']",museum
Taman Nasional Gunung Ciremai,https://drive.google.com/drive/folders/1-X6Y7aVALl_VwhvHOFs6dARmSn6k18I0,"Taman Nasional Gunung Ciremai (disingkat TNGC) adalah sebuah kawasan konservasi yang terletak di provinsi Jawa Barat, Indonesia dengan luas kawasan 14.841,30 Hektar (Ha), tercantum di SK Penunjukan nomor: 424/menhut-ii/2004 tanggal 19 Oktober 2004. Gunung Ciremai adalah gunung soliter tertinggi di Jawa Barat dengan puncak tertinggi memiliki ketinggian 3.078 mdpl membentuk kerucut di sisi sebelah Utara. Secara geografis kawasan TNGC terletak pada 108' 19’ 18” – 108' 29’ 30” BT dan 6' 46’ 57” – 6' 58’ 57” LS.",Setiap hari ( 01.00 - 19.50 WIB ),Rp 5.000 - Rp 225.000,"Cipaniis Asri, OYO 90543 An-nur Guest House Syariah, OYO 90405 Penginapan Sasti Kuningan, dan Horison Tirta Sanita Kuningan.",['keluarga'],pegunungan dan pedesaan
Kawasan Punclut,https://drive.google.com/drive/folders/1Av3ncFHRvzej9G-kqkjgcQHedmKLFLKu?usp=sharing,"Punclut yang merupakan singkatan dari Puncak Ciumbuleuit adalah salah satu kawasan yang terletak di sebelah utara Kota Bandung. Wisatawan dapat menikmati pemandangan alam dari Bandung Utara dengan udara yang masih sejuk karena jauh dari polusi udara di yang ada di daerah perkotaan. Sebagai kawasan wisata, Punclut juga dilengkapi dengan jajaran kios dan pedagang kaki lima di sisi kiri dan kanan jalan yang menjual berbagai macam pernak pernik mulai dari makanan sampai dengan keperluan rumah tangga. Kawasan Punclut juga menyajikan berbagai macam makanan tradisional khas Sunda seperti Nasi Timbel, tutut, sambal pecel dan makanan Sunda lainnya.",Senin - Minggu ( 08.00 - 24.00 ),Rp 10.000 - Rp 15.000,"GH Universal Hotel, The Gaia Hotel Bandung, Padma Hotel Bandung, dan Gumilang Regency Hotel.",['teman'],pegunungan dan pedesaan
Curug Dago,https://drive.google.com/drive/folders/1z9HkvlC4SvWR9Vwsilkd6-R9WjNslBDw?usp=sharing,Curug Dago adalah wisata air terjun di Bandung yang memiliki nilai sejarah tinggi. Curug ini terbentuk oleh aliran sungai Cikapundung yang mengalir dari Maribaya ke Kota Bandung. ejak sejarah yang ada di tempat wisata di Bandung yang satu ini dapat dilihat dari adanya prasasti batu Kerajaan Thailand yang berasal dari abad ke 18. Prasasti batu ini bertuliskan nama raja yang diketahui bernama Raja Chulalongkom II (Rama V) yang berasal dari Thailand.,Senin - Minggu ( 08.00 - 17.00 ),Rp12.000,"The Regia Dago, Hotel Bukit Juanda, Wirton Dago Hotel, dan BR City View Villa.","['teman', 'pasangan']",wisata air
Candi Gedong Songo,https://drive.google.com/drive/folders/1n_kQLp8ZofqjPG-cgyxax2trFX_O_PcP?usp=sharing,"Candhi Gedhong Sanga) adalah nama sebuah kompleks bangunan candi peninggalan budaya Hindu yang terletak di Semarang. Di kompleks candi ini terdapat sembilan buah candi. Lokasi sembilan candi yang tersebar di lereng Gunung Ungaran ini memiliki pemandangan alam yang indah. Selain itu, objek wisata ini juga dilengkapi dengan pemandian air panas dari mata air yang mengandung belerang, area perkemahan, dan wisata berkuda.",Setiap hari ( 06.30 - 18.00 WIB ),Rp6.000,"Amanda Hills Bandungan, Susan SPA & Resort, Pondok Wisata Umbul SIdomukti, dan The Bandungan Hotel & Convention.","['teman', 'keluarga', 'pasangan']",situs bersejarah dan religi
Grand Maerakaca,https://drive.google.com/drive/folders/1wdYTYb8JpZF6FOj34uSmzBapl1z5gB5w?usp=sharing,"Grand Maerakaca merupakan “Taman Mini” versi Jawa Tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di Jawa Tengah. Selain itu, terdapat replika serta miniatur bangunan landmark tiap-tiap daerah. Tidak hanya miniatur bangunan, Grand Maerakaca juga menawarkan wahana hiburan menarik lainnya yang cocok untuk berbagai kalangan usia.",Setiap hari ( 08.00 - 18.00 WIB ),Rp10.000,"The Azana Hotel airport, Hotel Citradream Semarang, Hotel Youstay Semarang, dan Ibis Budget Semarang Tendean.",['pasangan'],wisata kota
Pantai Baruna,https://drive.google.com/drive/folders/1xLY1NzS_NCnMvZB0LUqCgkZ_xQUnqthH?usp=sharing,"Pantai Baruna merupakan salah satu pantai baru yang berada di Kota Semarang. Pantai ini juga dikenal dengan nama Pantai Sangklak dan juga pantai Nyamuk. Berbeda dengan pantai lain yang hanya terdiri dari hamparan pasir, pantai Baruna memiliki hamparan padang ilalang luas hingga sejauh mata memandang hanya ada rerumputan dan pepohonan di kejauhan.",Setiap hari ( 05.00 - 22.00 WIB ),Rp3.000,"Marina Residence Semarang, Narra Hotel Bandara Semarang, Smart Budget Hotel, dan SPOT ON 2589 Marina Residence.","['teman', 'pasangan']",wisata air
Candi Borobudur,https://drive.google.com/drive/folders/1mFa64ubGLuMIPCvo2kBVVslhHIoyOkNc,"Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi ini adalah Candi Budha terbesar di dunia, Borobudur berasal dari masa pemerintahan Dinasti Syailendra Kerajaan Medang pada abad ke-9. Situs Warisan Dunia UNESCO ini akan memukau Anda dengan strukturnya yang megah, detail relief yang rumit, dan 72 stupa — masing-masing berisi patung Buddha.",Setiap hari (06.30 – 17.00 WIB ),"Usia 10 tahun keatas: Rp  50.000
Usia 3 s/d 10 tahun: Rp 25.000","Plataran Heritage Borobudur Hotel, Villa Borobudur Resort, Plataran Borobudur Resort & SPA, dan Cempaka Villa II Borobudur.",['keluarga'],situs bersejarah dan religi
Museum Purbakala Sangiran,https://drive.google.com/drive/folders/1G5eqclWPLCO6nQDm5B9TQ1ou_bs2S87i,"Museum Purbakala Sangiran adalah museum arkeologi yang terletak di Kalijambe, Kabupaten Sragen, Jawa Tengah, Indonesia. Museum ini berdekatan dengan area situs fosil purbakala Sangiran yang merupakan salah satu Situs Warisan Dunia UNESCO. Di museum dan situs Sangiran dapat diperoleh informasi lengkap tentang pola kehidupan manusia purba di Jawa yang menyumbang perkembangan ilmu pengetahuan seperti Antropologi, Arkeologi, Geologi, Paleoanthropologi. Di lokasi situs Sangiran ini pula, untuk pertama kalinya ditemukan fosil rahang bawah Homo erectus oleh arkeolog Jerman, Profesor Von Koenigswald.",Selasa - Minggu ( 08.00 - 16.00 WIB),Rp 8.000 - Rp 15.000,"RedDoorz near Terminal Tirtonadi, IDR Green Guest House Syariah RedPartner, Swiss-Belhotel Hotel, dan OYO 1136 Hotel Surya Solo.","['teman', 'keluarga', 'pasangan']",museum
Air Terjun Semirang,https://drive.google.com/drive/folders/1HbI55utHcvwupX0I4mH9oRvrB-JKZbef?usp=sharing,"Air Terjun Semirang merupakan salah satu wisata curug yang ada di Semarang. Air terjun ini terletak di kaki Gunung Ungaran. Dengan area sekitarnya penuh dengan pepohonan pinus yang asri. Selain itu, di sini juga terdapat beberapa satwa kecil yang sering berlalu lalang. Wisata air terjun ini memiliki nama lain yaitu Curug Semirang. Tidak hanya air terjun, wilayah ini juga dikelola sebagai kawasan wisata buatan.",Setiap hari ( 08.00 - 17.00 WIB ),Rp9.000,"Guest House Timlo Solo Unggaran, Hotel C3, The Wujil Resort & Conventions, dan SPOT ON 90100 Hotel Kediri Bandungan.","['teman', 'pasangan']",pegunungan dan pedesaan
Kraton Kasunanan Surakarta,https://drive.google.com/drive/folders/133wgZloSpNRVV3qkMZgRm8yVZj-ISJSI,Keraton Surakarta Hadiningrat atau Keraton Surakarta adalah Istana resmi Kesunanan Surakarta Hadiningrat yang terletak di Kota Surakarta. Keraton ini didirikan oleh Sri Susuhunan Pakubuwana II pada tahun 1744 sebagai pengganti Keraton Kartasura yang porak-poranda akibat Geger Pecinan pada tahun 1743.,"Senin - Kamis ( 09.00 - 14.00 WIB )
Sabtu - Minggu ( 09.00 - 15.00 WIB )",Rp 3.500 - Rp 15.000,"AlSalam Syariah Guest House near Kraton, OYO 3308 Griya Wijayakusuma, Doeloerkoe Homestay, dan Simple Room at Homestay Kemuning.","['teman', 'keluarga', 'pasangan']",situs bersejarah dan religi
Wisata Baturaden,https://drive.google.com/drive/folders/12URTMx9WQxlGtviMLUDHchUQu5T4CDze?usp=sharing,"Baturraden adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan ini berjarak sekitar 7,5 Km dari Kota Purwokerto ke arah utara. Pusat pemerintahannya berada di Desa Rempoah. Kecamatan ini terletak di lereng selatan Gunung Slamet dan merupakan kawasan wisata.","Senin - Jumat ( 07.00 - 15.30 WIB )
Sabtu - Minggu ( 07.00 - 16.00 WIB )",Rp 20.000 - Rp 25.000,"RedDoorz near Lokawisata Baturaden 2, Queen Garden Hotel, Hotel Cemerlang, dan Resort Prima Baturaden.","['teman', 'pasangan']",situs bersejarah dan religi
Waduk Jatibarang,https://drive.google.com/drive/folders/1Qn5xCwilAxdwRiWUwVUQfpf0rPyD9sWu?usp=sharing,"Waduk Jatibarang adalah salah satu waduk yang berada di Semarang yang baru di bangun sekitar tahun 2014 lalu. Pembangunan Waduk Jatibarang ini bertujuan untuk mengatasi luapan air akibat banjir yang berada di seluruh wilayah Semarang. Selain menjadi pusat pengendalian air ketika air mulai tinggi di suatu wiliayah, waduk ini juga berfungsi sebagai area wisata alam. Kemudian di tengah tengah Waduk Jatibarang ini juga ada sebuah pulau kecil yang juga menjadi destinasi wisata yaitu Goa Kreo.",Setiap hari ( 06.00 - 18.00 WIB ),Rp3.000,"Amanda Hills Bandungan, Hazotel, Oak Tree Emerald Semarang Hotel, dan Noormans Hotel Semarang.",['pasangan'],wisata kota
Kampoeng Djadhoel Semarang,https://drive.google.com/drive/folders/1-hzwcgmvyDJG0y-s1FvT36VFjYzL5zIh?usp=sharing,"Kampoeng Djadhoel merupakan kampung yang terletak di Kampung Batik Tengah, Rejomulyo, Semarang, Jawa Tengah. Letak kampung ini mudah dijangkau karena berada di sekitar Kota Lama. Kampung ini dilukis dengan berbagai warna dan bentuk variasi yang menarik. Dari depan kampung sampai masuk dalam gang-gang berubah menjadi lebih berwarna dengan padu padan warna yang serasi. Tidak hanya menonjolkan pada lukisan warna tetapi untuk menjadikan pengunjung lebih tertarik adalah penyediaan spot foto yang telah didesain dengan properti unik. ",Setiap hari ( 24 jam ),Gratis,"Votel Krakatau Boutique Hotel Semarang, Just Inn Semarang, RedDoorz near Taman Rejomulyo.","['keluarga', 'pasangan']",wisata kota
Wisata Lereng Kelir,https://drive.google.com/drive/folders/13sA2HJAiFQtQ4YuJmoDyfnQKVwLnZsab?usp=sharing,"Lereng Kelir adalah sebuah tempat wisata alam baru yang ada di Ambarawa, Jawa Tengah. Ambarawa sendiri memang sangat terkenal memiliki panorama alam yang masih sangat asri dan indah. Hal menarik yang bisa didapatkan dari tempat ini adalah Spot Foto, hiking yang menantang, hutan pinus, dan camping ground.",Setiap hari ( 05.00 - 18.00 WIB ),Rp5.000,"MesaStila Resort & SPA, Griya Wiyaja, Oase Van Java, dan RedDoorz near STAB Syailendra Kopeng.",['keluarga'],pegunungan dan pedesaan
Dieng Plateau,https://drive.google.com/drive/folders/18HS_xfCuUD1Xr0d3LhejLcP-Vp9NJG1k?usp=sharing,"Dihyang merupakan kawasan budaya dan pegunungan di pulau Jawa di provinsi Jawa Tengah. Mencakup wilayah agraris yang memiliki iklim tropis dengan tingkat curah hujan tinggi. Karena terletak pada ±2.000 meter di atas permukaan laut dan dihimpit oleh pegunungan, sehingga udaranya cukup dingin.",Setiap hari ( 24 jam ),Rp 5.000 - Rp 10.000,"Tani Jiwo Hostel Dieng, Aman Griyo Farmhouse, Homestay Cahaya Sikunir, dan Homestay Dieng Cool.","['teman', 'keluarga']",pegunungan dan pedesaan
Pulau Panjang Jepara,https://drive.google.com/drive/folders/10vP09wqE40OmHTzgpukMy0wvJTvxA5eP?usp=sharing,"Pulau Panjang adalah pulau kecil yang berjarak 2.4 km dari Pantai Kartini, Kabupaten Jepara. Pulau ini memiliki sebuah mercusuar yang terletak di bagian barat dan tempat berpopulasi seperti dermaga dan masjid terletak di bagian timur, sementara bagian tengahnya adalah hutan tropis.",Setiap hari ( 07.30 - 16.00 WIB ),Rp 25.000 - Rp 35.000,"D'Season Premiere Hotel, OYO 90705 Hotel Nusantara Syariah, Jepara Beach Hotel, dan The Gecho Inn Town.","['keluarga', 'pasangan']",wisata air
Kampung Pelangi,https://drive.google.com/drive/folders/1wtIYNjP2b2wy8k9KBlZjR76r5AhA7sSF?usp=sharing,"Kampung Pelangi berada di belakang Pasar Kembang Kalisari, Semarang. Kampung ini memiliki warna-warni yang sangat eye-catching. Bukan cuma tembok rumah yang dipenuhi warna tetapi juga atap dan tiap sudut jalanan kampung.",Setiap hari ( 24 jam ),Gratis,"SPOT ON 2697 Homy House, SG01 - Semarang Tengah 3, ASTON Inn Pandanaran, dan Louis Kienne Hotel Pandanaran.","['sendiri', 'keluarga', 'pasangan']",wisata kota
