Provinsi,Destinasi,Rating,Alamat,Detail,Jam Operasional,Biaya Masuk
Jawa Barat,Dago Dreampark Lembang,4.2,"Jl. Dago Giri Km. 2.2 Mekarwangi, Pagerwangi, Lembang, West Bandung Regency, West Java 40135","Dago Dreampark merupakan salah satu tempat wisata di Bandung yang menggunakan konsep Jawa - Sunda & Bali yang dilengkapi dengan berbagai fasilitas menarik. Adapun fasilitas yang dimaksud antara lain adalah wahana permainan, Out Bound, restoran dan makanan, dan wahana selfie.",Senin - Jum'at ( 09.00 - 17.00 WIB ),Rp 27000 - Rp 32.000
Jawa Barat,Gunung Tangkuban Perahu,4.5,"Cikahuripan, Kecamatan Lembang, Kabupaten Bandung, Jawa Barat",Gunung Tangkuban Perahu merupakan salah satu wisata alam di Bandung. Puncak Gunung Tangkuban Perahu berbentuk memanjang dan mirip dengan sebuah perahu yang terbalik. Kemudian pada lereng gunungnya terdapat hamparan perkebunan teh. Tempat wisata ini sering dikaitkan dengan cerita rakyat yang diturunkan dari generasi ke generasi yaitu cerita Sangkuriang dan Dayang Sumbi.,Setiap  Hari ( 07.00 - 17.00 WIB ),Rp 22.000 - Rp 31.000
Jawa Barat,Museum Geologi Bandung,4.6,"Jl. Diponegoro No.57, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122","Museum Geologi Bandung merupakan salah satu tempat wisata edukasi di Bandung. Museum ini berfungsi sebagai gedung perkantoran  dengan unit laboratorium geologi dan sarana penyimpanan koleksi hasil penelitian geologi. Museum ini memiliki koleksi berupa materi-materi geologi, mulai dari fosir, batuan, hingga mineral.","Selasa - Kamis ( 10.00 - 13.00 WIB )
Sabtu - Minggu ( 10.00 - 13.00 WIB )

Libur nasional tutup",RP 2.000 - Rp 10.000
Jawa Barat,Museum Konferensi Asia Afrika,4.7,"Jl. Asia Afrika No.65, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111","Museum Konferensi Asia Afrika merupakan wisata edukasi di Bandung. Museum ini didirikan deengan tujuan supaya dapat meningkatkan hubungan kalangan Eropa di Bandung. Museum ini memiliki ruang pameran tetap yang memamerkan sejumlah koleksi berupa benda-benda tiga dimensi dan foto-foto dokumenter peristiwa Pertemuan Tugu, Konferensi Kolombo, Konferensi Bogor, dan Konferensi Asia Afrika tahun 1955.","Selasa, Kamis, Sabtu, dan Minggu ( 09.00 - 15.00 WIB )",Gratis
Jawa Barat,Curug Citambur Cianjur,4.5,"Desa Karangjaya, Kecamatan Pasirkuda, Kabupaten Cianjur, Provinsi Jawa Barat, Indonesia","Curug Citambur adalah sebuah curug atau air terjun yang ketinggiannya kira-kira 130 meter di Kabupaten Cianjur bagian Selatan, Provinsi Jawa Barat, Indonesia. Curug Citambur memiliki tiga tingkatan air terjun dimana tingkat pertama berketinggian 12 meter sedangkan tingkat kedua berketinggian 116 meter dan yang paling tas adalah 2 meter.Air curug yang berada di ketinggian kurang lebih 1.400 Mdpl ini terkenal sangat dingin dan memiliki debit air yang besar terlebih saat musim penghujan. Kondisi tersebut membuat Curug Citambur selalu diliputi kabut tipis dan suara air jatuhannya yang begitu keras bergemuruh. Curug Citambur yang dibatasai tebing curam dan debit air yang besar akan sangat berbahaya jika berada dibawah guyuran airnya.",Setiap Hari ( 09.00 - 22.00 WIB ),Rp 10.000 - Rp 15.000
Jawa Barat,Kawah Putih Telaga Bodas,4.4,"Q3Q8+WP3, Galunggung, Sukamenak, Kec. Wanaraja, Kabupaten Garut, Jawa Barat 44184","Kawah Talaga Bodas ini terletak di Gunung Talaga Bodas, yang berdekatan dengan Gunung Sagara dan Gunung Galunggung. Di puncak Gunung Talaga Bodas ini merupakan perbatasan antara Kabupaten Garut dan Tasikmalaya.",Setiap Hari ( 07.00 - 17.00 WIB ),Rp9.500
Jawa Barat,Candi Jiwa Batu Jaya,4.5,"Segaran, Kec. Batujaya, Kabupaten Karawang, Jawa Barat 41354",candi ini disebut sebagai candi tertua di Jawa melebihi usia Candi Borobudur di Magelang. Candi Batujaya dibangun pada masa Kerajaan Tarumanegara yang sudah ada sejak abad ke-5 hingga ke-6 Masehi.,Setiap Hari ( 07.00 - 17.00 WIB ),Rp 5.000
Jawa Barat,Lembah Panyaweuyan Majalengka,4.5,"39M2+62H, Tejamulya, Kec. Argapura, Kabupaten Majalengka, Jawa Barat 45462","Destinasi yang indah dan tenang, dengan ladang pertanian bertingkat di lereng bukit dengan pemandangan lembah.",Setiap Hari ( 24 Jam ),Rp 5.000
Jawa Barat,NuArt Sculpture Park,4.7,"Jl, Setra Duta Raya No.L6, Ciwaruga, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40514","NuArt Sculpture Park merupakan sebuah museum galeri seni patung yang terletak di bagian Bandung Utara. Tempat ini merupakan pusat seni patung karya Nyoman Nuarta. Di dalam gallery menampilkan karya – karya patung hasil Nyoman Nuarta dari awal karier hingga karya terbaru sebagai pemeran utama. Selain museum gallery, disini juga merupakan tempat proses pembuatan patung karya Nyoman Nuarta itu sendiri.","Minggu - Kamis ( 09.00 - 17.00 )
Jumat & Sabtu ( 09.00 - 21.00 )",Rp 25.000 - Rp 50.000
Jawa Barat,Pulau Biawak Indramayu,4.5,"Pulau Biawak Indramayu, Kabupaten Indramayu, Jawa Barat","Pulau Biawak atau Pulau Rakit adalah sebuah pulau yang terletak di kepulauan Biawak, Laut Jawa di Kabupaten Indramayu Jawa Barat.",Setiap Hari ( 24 Jam ),Rp 400.000
