Destinasi,Detail,Preferensi 2
Curug Citambur,"Curug Citambur adalah sebuah curug atau air terjun yang ketinggiannya kira-kira 130 meter di Kabupaten Cianjur bagian Selatan, Provinsi Jawa Barat, Indonesia. Curug Citambur memiliki tiga tingkatan air terjun dimana tingkat pertama berketinggian 12 meter sedangkan tingkat kedua berketinggian 116 meter dan yang paling tas adalah 2 meter.Air curug yang berada di ketinggian kurang lebih 1.400 Mdpl ini terkenal sangat dingin dan memiliki debit air yang besar terlebih saat musim penghujan. Kondisi tersebut membuat Curug Citambur selalu diliputi kabut tipis dan suara air jatuhannya yang begitu keras bergemuruh. Curug Citambur yang dibatasai tebing curam dan debit air yang besar akan sangat berbahaya jika berada dibawah guyuran airnya.",wisata air
Kawah Putih Telaga Bodas,"Kawah Talaga Bodas ini terletak di Gunung Talaga Bodas, yang berdekatan dengan Gunung Sagara dan Gunung Galunggung. Di puncak Gunung Talaga Bodas ini merupakan perbatasan antara Kabupaten Garut dan Tasikmalaya.",pegunungan dan pedesaan
Candi Jiwa Batu Jaya,candi ini disebut sebagai candi tertua di Jawa melebihi usia Candi Borobudur di Magelang. Candi Batujaya dibangun pada masa Kerajaan Tarumanegara yang sudah ada sejak abad ke-5 hingga ke-6 Masehi.,situs bersejarah dan religi
Lembah Panyaweuyan,"Destinasi yang indah dan tenang, dengan ladang pertanian bertingkat di lereng bukit dengan pemandangan lembah.",pegunungan dan pedesaan
NuArt Sculpture Park,"NuArt Sculpture Park merupakan sebuah museum galeri seni patung yang terletak di bagian Bandung Utara. Tempat ini merupakan pusat seni patung karya Nyoman Nuarta. Di dalam gallery menampilkan karya – karya patung hasil Nyoman Nuarta dari awal karier hingga karya terbaru sebagai pemeran utama. Selain museum gallery, disini juga merupakan tempat proses pembuatan patung karya Nyoman Nuarta itu sendiri.",situs bersejarah dan religi
Masjid Raya Bandung,"Masjid Raya Bandung merupakan salah satu masjid agung yang menjadi sebuah destinasi wisata favorit bagi para turis domestik maupun mancanegara. Di masjid ini terdapat pemandangan alam yang indah serta pastinya terdapat pesona wisata religi tersendiri. Pengunjung dapat menikmati suasana islami hari ini hingga kapan pun dengan beragam kegiatan lain seperti; Iktikaf Bersama, Tafsir Al qur’an, Shalat Tsubuh berjamaah dan siraman rohani, Silaturahmi.",situs bersejarah dan religi
Kawah Putih Ciwidey,"Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Perairannya yang berwarna biru kristal berubah dengan kondisi cuaca, dan dilapisi dengan pasir putih halus, memberikan pengunjung pengalaman dunia lain. Bahkan vegetasi di sekitar area ini sangat berbeda dengan yang di bawah.",pegunungan dan pedesaan
Museum Gedung Sate,"Museum Gedung Sate adalah sebuah museum yang berada di Kota Bandung. Museum ini dibangun khusus untuk menjelaskan tentang sejarah Gedung Sate. Informasi lain yang disampaikan tentang Kota Bandung dan provinsi Jawa Barat. Konsep yang diberikan oleh Museum Gedung Sate adalah mengenai gaya arsitektur dan nilai sejarah dari gedung sate. Penerapan konsep diadakan secara bertahap mulai dari tahap prolog, eksplorasi hingga kontemplasi. Nilai sejarah disampaikan dengan teknologi digital yang interaktif. ",situs bersejarah dan religi
Taman Nasional Gunung Ciremai,"Taman Nasional Gunung Ciremai (disingkat TNGC) adalah sebuah kawasan konservasi yang terletak di provinsi Jawa Barat, Indonesia dengan luas kawasan 14.841,30 Hektar (Ha), tercantum di SK Penunjukan nomor: 424/menhut-ii/2004 tanggal 19 Oktober 2004. Gunung Ciremai adalah gunung soliter tertinggi di Jawa Barat dengan puncak tertinggi memiliki ketinggian 3.078 mdpl membentuk kerucut di sisi sebelah Utara. Secara geografis kawasan TNGC terletak pada 108' 19’ 18” – 108' 29’ 30” BT dan 6' 46’ 57” – 6' 58’ 57” LS.",pegunungan dan pedesaan
Kawasan Punclut,"Punclut yang merupakan singkatan dari Puncak Ciumbuleuit adalah salah satu kawasan yang terletak di sebelah utara Kota Bandung. Wisatawan dapat menikmati pemandangan alam dari Bandung Utara dengan udara yang masih sejuk karena jauh dari polusi udara di yang ada di daerah perkotaan. Sebagai kawasan wisata, Punclut juga dilengkapi dengan jajaran kios dan pedagang kaki lima di sisi kiri dan kanan jalan yang menjual berbagai macam pernak pernik mulai dari makanan sampai dengan keperluan rumah tangga. Kawasan Punclut juga menyajikan berbagai macam makanan tradisional khas Sunda seperti Nasi Timbel, tutut, sambal pecel dan makanan Sunda lainnya.",pegunungan dan pedesaan
Curug Dago,Curug Dago adalah wisata air terjun di Bandung yang memiliki nilai sejarah tinggi. Curug ini terbentuk oleh aliran sungai Cikapundung yang mengalir dari Maribaya ke Kota Bandung. ejak sejarah yang ada di tempat wisata di Bandung yang satu ini dapat dilihat dari adanya prasasti batu Kerajaan Thailand yang berasal dari abad ke 18. Prasasti batu ini bertuliskan nama raja yang diketahui bernama Raja Chulalongkom II (Rama V) yang berasal dari Thailand.,wisata air
Candi Gedong Songo,"Candhi Gedhong Sanga) adalah nama sebuah kompleks bangunan candi peninggalan budaya Hindu yang terletak di Semarang. Di kompleks candi ini terdapat sembilan buah candi. Lokasi sembilan candi yang tersebar di lereng Gunung Ungaran ini memiliki pemandangan alam yang indah. Selain itu, objek wisata ini juga dilengkapi dengan pemandian air panas dari mata air yang mengandung belerang, area perkemahan, dan wisata berkuda.",situs bersejarah dan religi
