Destinasi
Dago Dreampark Lembang
Gunung Tangkuban Perahu
Museum Geologi Bandung
Museum Konferensi Asia Afrika
Curug Citambur Cianjur
Kawah Putih Telaga Bodas
Candi Jiwa Batu Jaya
Lembah Panyaweuyan Majalengka
NuArt Sculpture Park
Pulau Biawak Indramayu
Situ Patenggang Bandung
Wana Wisata Situ Mustika
Bukit Gronggong Cirebon
Agrowisata Kampung Nangorak
Masjid Raya Bandung
Kawah Putih Ciwidey
Museum Gedung Sate
Taman Nasional Gunung Ciremai
Kawasan Punclut Bandung
Curug Dago Bandung
Candi Gedong Songo
Grand Maerakaca Semarang
Pantai Baruna Semarang
Candi Borobudur Magelang
Museum Purbakala Sangiran
Air Terjun Semirang
Kraton Kasunanan Surakarta
Wisata Baturaden Karangmangu
Waduk Jatibarang Semarang
Kampoeng Djadhoel Semarang
Wisata Lereng Kelir
Dieng Plateau Banjarnegara
Pulau Panjang Jepara
Kampung Pelangi Semarang
Wisata Mangrove Tapak
Taman Nasional Karimunjawa
Wisata Agro Puri Muria Colo
Desa Wisata Lembah Kalipancur
Ketep Pass Magelang
Masjid Agung Ungaran
Nol Kilometer Yogyakarta
Air Terjun Kedung Pedut
Kraton Yogyakarta
Pantai Indrayanti Yogyakarta
Candi Ijo Prambanan
Hutan Pinus Pengger
Candi Prambanan Yogyakarta
Pantai Patihan Bantul
Gembira Loka Zoo
The Lost World Castle
Puncak Segoro Yogyakarta
Bukit Wisata Pulepayung
Pantai Glagah Gunungkidul
Desa Wisata Sungai Code Jogja Kota
Kampung Wisata Taman Sari
Jurang Tembelan Kanigoro
De Mata Museum Jogja
Watu Lumbung Yogyakarta
Sindu Kusuma Edupark (SKE)
Pasar Beringharjo Yogyakarta
Bukit Kapur Arosbaya
Museum Sepuluh Nopember Kota Surabaya
Masjid Muhammad Cheng Hoo
Kenjeran Park Surabaya
Goa Si Golo Golo
Museum De Javasche Bank
Surabaya North Quay
Taman Buah Surabaya
Rumah Batik Jawa Timur
Air Terjun Srambang
Ekowisata Mangrove Wonorejoy
Taman Kunang-Kunang
Puntok Geneng Poncol
Wisata Bahari Lamongan
Bukit Kawah Wurung
Taman Harmoni Keputih
Air Terjun Nglirip
Puncak Rengganis Gunung Argopuro
Ranu Kumbolo Bromo
Museum Mpu Tantular
Pulau Bidadari Jakarta
Museum Bahari Jakarta
Pulau Tidung Jakarta
Museum Satria Mandala
Museum Wayang Jakarta
Alive Museum Ancol
Kota Tua Jakarta
Galeri Nasional Indonesia
Taman Impian Jaya Ancol
Pulau Pari Jakarta
Pulau Pramuka Jakarta
Taman Mini Indonesia Indah (TMII)
Museum Tekstil Jakarta
Museum Taman Prasasti
Museum Joang 45 Menteng
Museum Sumpah Pemuda
Klenteng Jin De Yuan
Taman Menteng Jakarta
Wisata Agro Edukatif Istana Susu Cibugary
Galeri Indonesia Kaya
Pantai Anyer Serang
Pantai Tanjung Lesung
Wisata Kampung Marengo Baduy Luar
Pantai Sawarna Banten
Pulau Umang Banten
Pulau Dua Banten
Rawa Dano Banten
Danau Tasikardi Banten
Pulau Sangiang Banten
Taman Nasional Ujung Kulon
Pulau Cangkir Tangerang
Wisata Keramat Solear
Curug Putri Carita (Little Green Canyon Banten)
Pantai Mabak Cilegon
Bukit Batu Gambir
Bukit Teletubbies Cilegon
"Wisata Alam Lebak Sayam, Bukit Kedurung"
Benteng Speelwijk Banten
Batu Lawang Merak
Mercusuar Cikoneng Banten
Pura Agung Besakih
Pura Penataran Agung Lempuyang
Bukit Jambul Bali
Taman Soekasada Ujung Water Palace
Pura Goa Lawah
Kertha Gosa Bali
Crystal Bay Nusa Penida
Pasih Uug Bali
Nusa Ceningan Bali
Banah Cliff Bali
Air Terjun Tegenungan
Hidden Canyon Beji Guwang
Bukit Campuhan Ubud
Pura Tirta Empul
Candi Tebing Gunung Kawi
Mandala Suci Wenara Wana (Ubud Monkey Forest)
Pulau Serangan Bali
Pantai Pandawa Bali
Garuda Wisnu Kencana
Desa Penglipuran Bali
Bukit Nanggi Sembalun
Bukit Pergasingan Sembalun
Bukit Merese Pujut
Bukit Seger Kuta
Gunung Rinjani Sembalun
Bukit Selong Sembalun
Air Terjun Benang Kelambu
Mangku Sakti Water Fall
Telaga Madu Waterfalls
Gili Air Lombok
Gili Meno Lombok
Pantai Tanjung Aan
Gili Nanggu Lombok
Pink Beach Lombok
Desa Sembalun Lombok
Desa Bayan Sasak
Wisata Alam Aiknyet
Batu Payung Lombok
Goa Bangkang Prabu
Nest Sculpture Lombok
Taman Nasional Komodo
Pulau Kera Kupang
Air Terjun Tanggedu
Gili Lawadarat Manggarai
Danau Kelimutu Ende
Goa Rangko Manggarai
Pulau Mangiatan Manggarai
Air Terjun Cunca Wulang
Desa Tradisional Bena
Manta Point Manggarai
Pulau Rinca Manggarai
Danau Sanonggoang
Kampung Adat Praiyawang
Kampung Adat Ratenggaro
Rumah Budaya Sumba
Benteng None Amanuban
Benteng Makes ( 7 Lapis)
Pulau Padar Manggarai
Desa Wae Rebo Manggarai
Air Terjun Lapopu
Museum Tsunami Aceh
Pantai Iboih Aceh
Masjid Baiturrahman Aceh
Air Terjun Blang Kolam
Danau Laut Tawar
Pantai Lhoknga Aceh
Rumah Cut Nyak Dhien
Taman Hutan Raya Pecut Meurah Intan
Air Terjun Kuta Malaka
Pantai Ujong Batee
Goa Sarang Aceh
Air Terjun Pria Laot
Lingkok Kuwieng Aceh
Pantan Terong Aceh
Benteng Iskandar Muda
Goa Loyang Koro
Cagar Alam Jantho
Taman Wisata Putroe Phang
Cot Seulawah Agam
Burni Telong Aceh
Pantai Padang Purus
Pantai Air Manis
Museum Adityawarman
Puncak Gagoan Solok
Wisata Laiang Park Kota Solok
Danau Singkarak Padang
Puncak Gobah Solok
Kapalo Banda Taram
Danau Talang Solok
Masjid Agung Al-Muhsinin
Taman Jam Gadang
Benteng Fort de Kock
Jembatan Limpapeh Bukittinggi
"Ngarai Sianok
  Bukittinggi"
Janjang Ampek Puluah
Janjang Saribu Bukittinggi
Rumah Kelahiran Bung Hatta
Taman Margasatwa dan Budaya Kinanta
Lembah Harau Sarilamak
Rumah Gadang Sungai Beringin
Danau Toba Samosir
Air Terjun Sipiso Piso
Pulau Samosir
Pantai Sorake Nias Selatan
Cagar Alam Sibolangit
Danau Lau Kawar
Air Terjun Dua Warna
The Le Hu Garden
Rahmat International Wildlife Museum & Gallery
Masjid Raya Al-Mashun Medan
Geosite Sipinsur Parulohan
Vihara Gunung Timur
Kebun Binatang Simalingkar Medan
Penangkaran Buaya Asam Kumbang
Istana Maimun Medan
Gunung Sibayak Karo
Air Terjun Sigura-Gura
Merci Barn Deli Serdang
Puncak Gundaling Karo
Kawah Putih Dolok Tinggi Raja
Danau Buatan Air Batu
Taman Nasional Sembilang
Jembatan Musi II
Wisata Air Terjun Curup Maung
Air Terjun Lawang Agung
Air Terjun Haman
Taman Rekreasi Ribang Kemambang
Museum Negeri Balaputra Dewa
Taman Kembang Iwak Besak
Museum Sultan Mahmud Badaruddin II
Benteng Kuto Besak
Masjid Lawang Kidul
Tugu Belido Palembang
Taman Purbakala Kerajaan Sriwijaya
Sekanak Sidewalk Palembang
Gunung Dempo Pagar Alam
Klenteng Chandra Nadi
Museum Balaputera Dewa
Taman Kota Prabumulih
Taman Gunung Ibul
Candi Muara Takus
Istana Siak Sri Indrapura
Masjid Raya An Nur
Rainbow hills Pekanbaru
Taman Hutan Raya Sultan Syarif Hasyim
Bukit Kapur Air Hitam
Riau Fantasi Kampar
Anjungan Seni Idrus Tintin
Pasar Bawah Pekanbaru
Museum Sang Nila Utama
Arboretum Universitas Riau
Kebun Binatang Sang Kulim
Taman Rekreasi Alam Mayang
Balai Adat Riau
Rumah Singgah Tuan Kadi
Masjid Senapelan Pekanbaru
Perpustakaan Soeman HS
RTH Putri Kaca Mayang
Taman Kota Pekan Baru
Pulau Cinta Riau
Tugu Juang Jambi
Tugu Pers Jambi
Air Terjun Pancaro Rayo
Museum SiGinjai
Jambi Paradise Muaro Jambi
Candi Muaro Jambi
Menara Gentala Arasy
Candi Tinggi Muaro Jambi
Kebun Teh Kayu Aro
Hestis Garden Jambi
Taman Tanggo Rajo
Taman Telun Berasap
Geopark Merangin
Tugu Keris Siginjai
Taman Wisata Kampoeng Radja
Masjid Agung Al-Falah
Museum Perjuangan Rakyat Jambi
Danau Kerinci Jambi
Taman Mayang Mangurai
Masjid Raya Pondok Tinggi
Pantai Sungai Suci
Suban Air Panas Curup
Danau Biru Bengkulu
Danau Dendam Tak Sudah
Bendungan PLTA Musi
Wisata Mangrove Bengkulu
Bukit Kaba Bengkulu
Goa Kacamata Lebong
Bukit Batu Kandis
Benteng Marlborough Bengkulu
Rumah Bekas Kediaman Bung Karno
Kebun Teh Kabawetan
Danau Suro Bengkulu
Danau Mas Harun Bastari
Pantai Padang Betuah
Curug Sembilan Bengkulu
Danau Nibung Mukomuko
Pantai Linau Bengkulu
Pulau Enggano Bengkulu
Air Terjun Singkai
Taman Nasional Way Kambas
Taman Nasional Bukit Barisan Selatan
Puncak Mas Bandar Lampung
Water Park Lembah Hijau
Menara Siger Lampung
Air Terjun Curup Gangsa
Museum Lampung Rajabasa
Rumah Adat Jajar Intan
Museum Mahkota Dipuncak Nur
Museum Kupu-Kupu di Taman Gita Persada
Museum Nasional Ketransmigrasian Lampung
Alam Wawai Eco Park
Bukit Sakura Kemiling
Lampung Elephant Park
Taman Purbakala Pugung Raharjo
Agrowisata Horti Park
Alun Alun Simpang Pematang
Wisata Villa Gardenia
Kebun Raya Liwa
Puncak Desa Wisata Pujo Rahayu
Pulau Penyengat Tanjung Pinang
Pulau Dompak Tanjung Pinang
Vihara Seribu Wajah
Sun Te Kong Temple
Taman Tepi Laut
Vihara Avalokitesvara Graha
Mesjid Raya Sultan Riau Penyengat
Pantai Tanjung Siambang
Tugu Pensil Tanjung Pinang
Tugu Proklamasi Riau
Bukit Panglong Kepulauan Riau
Masjid Raya Dompak
Masjid Pink Kepulauan Riau
Pantai Trikora Kepulauan Riau
Museum Sultan Sulaiman Badrul Alamsyah
Danau Biru Kijang
Taman Wisata Habibie 1000 Tangga
Tebing Langit Bukit Dangas Sekupang
Hutan Wisata Mata Kucing dan Bonbin Mini
Pancur Telaga Bidadari
Pantai Losari Makassar
Pulau Kodingareng Keke
Pantai Akkarena Makassar
Pantai Appalarang Bulukumba
Pulau Kayangan Makassar
Air Terjun Takapala
Desa Rammang-rammang
Hutan Mangrove Tongke-tongke
Pantai Seruni Bantaeng
Teluk Laikang Taklar
Air Terjun Ketemu Jodoh
Tanjung Bira Bulukumba
Pantai Pulau Liukang Loe
Puncak Gunung Sesean
Taman Nasional Taka Bonerate
Danau Tempe Wajo
Gunung Kambing Palopo
Gunung Bawakaraeng Gowa
Pantai Marina Bantaeng
Wisata Hutan Pinus Malino
Taman Nasional Bunaken
Pulau Siladen Manado
Pantai Malalayang Manado
Gardenia Country Inn
Rumah Alam Manado
CitraLand WaterPark Manado
GPI Waterpark Manado
God Bless Park
Taman Hutan Raya Gunung Tumpa
Monumen HV. Worang
New Bendar 45 Manado
Pulau Lihaga Minahasa
Pantai Tatiala Manado
UPTD Museum Negeri Propinsi Sulawesi Utara
Jembatan Soekarno Manado
Tugu Boboca Manado
Monumen Lilin Manado
Kampung Cina Manado
Pantai Paal Minahasa
Bukit Doa Mahawu
Pusentasi Donggala
Jembatan Lalove Palu
Museum Negeri Propinsi Sulawesi Tengah
Sou Raja Palu
Monumen Nosarara Nosabatutu
Taman Nasional Lore Lindu
Pantai Talise Palu
"Pantai Tanjung Karang, Donggala"
Danau Poso
Gunung Matantimali Sigi
Kepulauan Togean Una-una
Pulau Pasoso Donggala
Pulau Lutungan Toli-toli
Pulau Kadidi Una-una
Air Terjun Saluopa
Air Terjun Salodik
Air Terjun Piala
Bukit Keles Palu
Taman GOR Palu
Palindo Megalith Poso
Pulau Labengki Konawe
Pulau Bokori Konawe
Air Terjun Moramo
Benteng Keraton Buton
Pantai Huntete Wakatobi
Pantai Katembe Buton
Pulau Kambode Wakatobi
Masjid Al-Alam Kendari
Taman Nasional Wakatobi
Pantai Taipa Konawe
Pantai Nambo Kendari
Pantai Toronipa Konawe
